Simulation,Pathway,NPV,NPV_millions,mortality
1023,D,828963835.678853,828.963835678853,72.8839029357768
1003,B2,589716701.805319,589.716701805319,51.848890149457
1003,B3,505590867.47669,505.59086747669,44.4524044649181
1003,C1,475068610.803275,475.068610803275,41.7688360183594
1003,C2,550931235.162978,550.931235162978,48.4388063021149
1003,C3,475401915.549743,475.401915549743,41.7981407355787
1003,D,818709663.699529,818.709663699529,71.9823387865811
1004,A,882334042.819917,882.334042819917,77.5763018433193
1004,B1,523531734.697,523.531734697,46.0297958646261
1004,B2,603942678.365431,603.942678365431,53.099662077191
1004,B3,520072994.982872,520.072994982872,45.7256976172059
1004,C1,483656942.364067,483.656942364067,42.5239366595646
1004,C2,566027998.79146,566.02799879146,49.7661393021625
1004,C3,488824174.048476,488.824174048476,42.9782484115661
1004,D,831177062.014773,831.177062014773,73.0784935397325
1024,A,882210926.659661,882.210926659661,77.5654772622125
1024,B1,527131249.986946,527.131249986946,46.3462713388468
1024,B2,607764805.260266,607.764805260266,53.4357099403445
1024,B3,523191277.767618,523.191277767618,45.9998623153844
1024,C1,484090979.305059,484.090979305058,42.5620979217527
1024,C2,568908446.120794,568.908446120794,50.0193931047134
1024,C3,492278858.244035,492.278858244035,43.2819900909322
1024,D,836923830.163511,836.923830163511,73.5837591181808
1025,A,885381497.943685,885.381497943685,77.844239253713
1025,B1,524191253.131565,524.191253131565,46.0877818412156
1025,B2,605200232.608065,605.200232608065,53.2102283738275
1025,B3,521446388.717748,521.446388717748,45.8464487179862
1025,C1,483392522.081196,483.392522081196,42.5006883809286
1025,C2,566827723.045578,566.827723045578,49.8364524116178
1025,C3,489486869.55478,489.486869554779,43.036513721678
1025,D,833233334.413121,833.233334413121,73.2592844879504
1026,A,882009968.684443,882.009968684443,77.5478086970355
1026,B1,511330617.275292,511.330617275292,44.9570529781483
1026,B2,590668200.926864,590.668200926864,51.9325475620404
1026,B3,509473683.260038,509.473683260038,44.7937881978276
1026,C1,476759436.023241,476.759436023241,41.9174962323631
1026,C2,553594092.705561,553.594092705561,48.67292924248
1026,C3,479182717.051978,479.182717051978,42.1305552002974
1026,D,825039754.999814,825.039754999814,72.5388911234232
1027,A,876978561.073117,876.978561073117,77.1054388273369
1027,B1,531677038.676959,531.677038676959,46.7459447713773
1027,B2,612898199.605601,612.8981996056,53.887046656246
1027,B3,528971929.950059,528.971929950059,46.5081070354034
1027,C1,485447108.871534,485.447108871534,42.6813311276385
