County,State,Pathway,total_mean_emission,total_min_emission,total_max_emission
Windham,CT,C3,5.55697473542192,5.15739887525689,6.06897229576515
Windham,CT,D,18.5098764591705,17.979342545656,18.803165247955
Hillsborough,NH,A,9.19310822785901,8.88353222612543,9.41005055070673
Hillsborough,NH,B1,1.27496515229861,1.14208212517553,1.3933909666575
Hillsborough,NH,B2,2.09246219158937,1.91364643184939,2.26292640072513
Hillsborough,NH,B3,1.2811844119997,1.14398444805031,1.39784387110525
Hillsborough,NH,C1,2.02112341109165,1.80980793938513,2.19071507617215
Hillsborough,NH,C2,1.7989270886005,1.61475400523115,1.95684191187383
Hillsborough,NH,C3,1.08357851089765,0.963597732079776,1.20144024256054
Hillsborough,NH,D,4.19724879800536,3.90082928164693,4.42470084916648
Cumberland,ME,A,79.6411275950452,78.1126867077558,81.1277802236267
Cumberland,ME,B1,22.544755506044,21.7716688213328,23.1524790714143
Cumberland,ME,B2,23.7649621743221,23.1238734929258,24.3616077356631
Cumberland,ME,B3,22.7291579282276,21.9560356710767,23.3565067281308
Cumberland,ME,C1,24.6398020465421,24.2406931009095,25.1629584423075
Cumberland,ME,C2,23.8532145480144,23.2437010350035,24.4885767283435
Cumberland,ME,C3,22.4511684601908,21.7047630984248,23.0965085746562
Cumberland,ME,D,87.6857560460179,86.1475400004921,89.0552493124923
Middlesex,CT,A,20.9519196347018,20.8802295979753,21.0261486069693
Middlesex,CT,B1,5.21267565837484,4.99778398997625,5.45307269628255
Middlesex,CT,B2,6.64970073701592,6.44647430112722,6.86808833911526
Middlesex,CT,B3,5.24105570150783,5.0368666704114,5.47137739450665
Middlesex,CT,C1,6.23940495771346,6.11272087206524,6.37234917590111
Middlesex,CT,C2,6.23064657598164,6.03766057105629,6.45235600818762
Middlesex,CT,C3,4.79918072180877,4.61227236479274,5.00744851229608
Middlesex,CT,D,16.532227955451,16.2792368456571,16.6647545972256
Coos,NH,A,19.3460125034219,19.2914078590093,19.3830327032427
Coos,NH,B1,15.6547786287281,15.536522047753,15.7422960597342
Coos,NH,B2,16.6603557251304,16.5272338077118,16.8086392988383
Coos,NH,B3,15.47260929484,15.3411668143369,15.5479279294541
Coos,NH,C1,11.5105692817372,11.4382766493392,11.5725416435499
Coos,NH,C2,15.8536285246732,15.7238171989132,15.9485244210325
Coos,NH,C3,14.8408484653226,14.6914757535667,14.9216164939615
Coos,NH,D,19.163274810415,19.117582198525,19.2008850237893
Chittenden,VT,A,12.4285911576071,12.3365133623121,12.5192479262564
Chittenden,VT,B1,3.0838089861795,3.06117579741694,3.09934587038774
Chittenden,VT,B2,3.10808433174872,3.08736753881257,3.12404707329061
Chittenden,VT,B3,3.09145288514655,3.07025370588209,3.10666864875961
Chittenden,VT,C1,3.1680532489624,3.14696735113362,3.19069010487996
Chittenden,VT,C2,3.11909471103984,3.1010432740477,3.13672428080192
Chittenden,VT,C3,3.09009397173439,3.07025370588209,3.10666864875961
Chittenden,VT,D,12.2428122338624,12.1696263985457,12.3005635322369
Barnstable,MA,A,17.3744850291405,17.2008194640761,17.6218868980282
Barnstable,MA,B1,3.91266726753875,3.85640402582683,4.02147267652469
Barnstable,MA,B2,4.10733480665021,4.03675350632537,4.21886386395995
Barnstable,MA,B3,3.95718694935652,3.89904008113617,4.06952233071586
Barnstable,MA,C1,4.6973595491907,4.62073512467741,4.82218879244065
Barnstable,MA,C2,4.19948659085927,4.12851432352034,4.31345788770112
Barnstable,MA,C3,3.96003751220483,3.89904008113617,4.06952233071586
Barnstable,MA,D,15.0097173093176,14.7878592218661,15.1629901409625
Merrimack,NH,A,54.4030705542031,54.2972901080056,54.603970683884
Merrimack,NH,B1,15.6217688376364,15.5000855727627,15.7407728092512
Merrimack,NH,B2,15.8530692416726,15.7705125689415,15.9352051795353
Merrimack,NH,B3,15.6875706051915,15.5701968027895,15.806009643362
Merrimack,NH,C1,16.3935848776851,16.3484684247,16.4587175741373
Merrimack,NH,C2,15.9595397032729,15.8837878118836,16.0372209950312
Merrimack,NH,C3,15.6896176977065,15.5701968027895,15.806009643362
Merrimack,NH,D,53.216701881001,53.0767058511579,53.426054558626
