Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD
2045,1075,C1,2709.40697287832,2264.14417460186,3671500.1116035,57.9415697691555,1276763.56052417,69469.872300152,5022765.03714507
2046,1075,C1,2611.60250384124,2128.08849136459,3556089.13189486,39.4100754368336,1211805.14985641,66759.6243997275,4839433.00722164
2031,1075,C2,64338.4985221649,44813.3829173654,27647152.5755952,2326.99829758008,12841224.6787345,607897.110542875,41207753.2446097
2032,1075,C2,58372.6648221995,40639.9131558673,26159485.9353216,2101.92306170392,12213828.7351528,575523.588688006,39049952.7602022
2033,1075,C2,52494.2385878772,36314.2487961791,24723993.6317338,1902.45913396277,11590331.6825492,544157.143653625,36949193.4044546
2034,1075,C2,47309.9889272324,32913.0118732037,22948979.3471567,1792.63812947878,10818692.9009896,505291.813288042,34354979.7003643
2035,1075,C2,43711.9358921009,30552.703899215,21893986.2943414,1603.27828159472,10363374.7017524,482246.036730143,32815474.9508969
2036,1075,C2,40349.5220210161,28116.8816686411,20536078.0125374,1491.49552645039,9770569.42089997,452464.672768947,30829070.0054224
2037,1075,C2,34672.8717938834,24076.8609601317,18831944.7376328,1356.07028963607,9006450.49618577,414806.563431295,28313307.6002935
2038,1075,C2,30783.435459542,21591.5042730323,17404751.0241411,1200.23067774044,8364179.60027061,383305.361720935,26205811.1565429
2039,1075,C2,28971.9758665715,20047.6033266847,16344826.3494192,1132.49204568832,7869797.53633484,359661.781771065,24624437.7387641
2040,1075,C2,27052.8383004717,18960.0994398492,15768673.6307046,980.642340293122,7599314.26418187,346729.775539658,23761711.2505068
2041,1075,C2,21711.5668672801,14890.4091658044,13698957.584582,843.658917403652,6641874.24693041,300698.682095404,20678976.1485583
2042,1075,C2,20012.0264069717,13879.4894937435,12827657.3253845,752.366450876389,6203231.78716206,280879.223756857,19346412.218655
2043,1075,C2,17060.1146958892,11998.3776080878,11772350.9092132,623.148301839299,5724881.50474777,257402.854772129,17784316.9093389
2044,1075,C2,15172.7745511122,10789.6788240823,10817052.3155413,474.511055331548,5250932.15170096,235747.061692323,16330168.4933651
2045,1075,C2,13508.1711903931,9530.64989233051,9938104.9579634,487.93764257652,4807194.39244122,215754.20896565,14984580.3180956
2046,1075,C2,12918.8019845061,8939.2020099773,9529038.68350537,465.894496771257,4579343.83438255,206239.492764971,14336945.9091441
2031,1075,C3,46546.5053386242,31370.8710605113,21368764.1601852,1833.2212332616,10100033.5512952,469697.971847754,32018246.2809605
2032,1075,C3,42874.6762227644,29136.9842821358,20308366.3587225,1693.56346888699,9659794.10785044,446673.116595047,30488538.8071418
2033,1075,C3,39088.4857403906,26711.8161239896,19151599.2527915,1556.44018533597,9147880.03626394,421221.232755443,28788057.2638606
2034,1075,C3,34852.2526683043,24056.473590884,17789083.9830482,1455.16795262603,8533256.20397042,391083.223244549,26773787.3044749
2035,1075,C3,33883.8569753571,23011.4398495362,17136983.9610222,1334.81555301106,8247018.3866425,376782.627499025,25819015.0875416
2036,1075,C3,31398.2924397835,21487.6731643266,16202389.9418547,1207.57033825366,7805861.38754048,355897.43281441,24418242.298152
2037,1075,C3,28128.3024333491,19315.8279202413,15086293.5523117,1185.73689913868,7266462.91312481,330809.598575058,22732195.9312643
2038,1075,C3,26499.7407431953,18391.2373731072,14642771.1643221,1089.09546502472,7058174.85277627,320881.583813521,22067807.6744932
2039,1075,C3,26254.7473573976,18092.4451542363,14474766.4738077,1029.12293697523,6981162.07484293,317139.163670484,21818444.0277697
2040,1075,C3,26735.8114272832,18549.7887880596,14531819.871809,977.452864386809,6994727.04228985,318288.906178562,21891098.8733571
2041,1075,C3,16385.3170123595,11513.0173907759,10700605.214174,657.103934593598,5123601.56030778,231783.16032975,16084545.3731492
2042,1075,C3,15944.4436016992,11097.1777632907,10450703.0673014,645.88313172167,4987274.08803304,226036.061159024,15691700.7209902
2043,1075,C3,15625.6894700017,10993.6139139791,10144941.9185262,561.145502909478,4850915.81485398,219221.59850366,15242259.7807708
2044,1075,C3,13950.6149631973,9886.65235342403,9757448.93179921,458.506576139019,4671165.22423464,210556.681079659,14663466.6110063
2045,1075,C3,13215.7977994055,9272.63288115514,9084365.6046505,453.784066270236,4301419.53602929,194939.222215245,13603666.5776419
2046,1075,C3,12092.4240647163,8374.67632034944,8730226.82921097,443.769729381874,4101827.14783799,186622.944938175,13039587.7921016
