"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1005","C2","NYISO","Upper",21091297425.6403
"1005","C2","NB","Lower",718158151.827612
"1005","C2","NB","Upper",2138664651.88669
"1005","C3","QC","Lower",24501179277.1442
"1005","C3","QC","Upper",72964159657.8925
"1005","C3","NYISO","Lower",7019183783.25308
"1005","C3","NYISO","Upper",21091297425.6403
"1005","C3","NB","Lower",718158151.827612
"1005","C3","NB","Upper",2138664651.88669
"1005","D","QC","Lower",24501179277.1442
"1005","D","QC","Upper",72964159657.8925
"1005","D","NYISO","Lower",7019183783.25308
"1005","D","NYISO","Upper",21091297425.6403
"1005","D","NB","Lower",718158151.827612
"1005","D","NB","Upper",2138664651.88669
"1006","A","QC","Lower",4652259635.49212
"1006","A","QC","Upper",13854362313.518
"1006","A","NYISO","Lower",4418361002.46088
"1006","A","NYISO","Upper",13276325127.5868
"1006","A","NB","Lower",710984148.88513
"1006","A","NB","Upper",2117300574.25758
"1006","B1","QC","Lower",24411747798.7411
"1006","B1","QC","Upper",72697834000.8768
"1006","B1","NYISO","Lower",7126616324.52648
"1006","B1","NYISO","Upper",21414111552.0627
"1006","B1","NB","Lower",710984148.88513
"1006","B1","NB","Upper",2117300574.25758
"1006","B2","QC","Lower",4652259635.49212
"1006","B2","QC","Upper",13854362313.518
"1006","B2","NYISO","Lower",7126616324.52648
"1006","B2","NYISO","Upper",21414111552.0627
"1006","B2","NB","Lower",710984148.88513
"1006","B2","NB","Upper",2117300574.25758
"1006","B3","QC","Lower",32753752257.0272
"1006","B3","QC","Upper",97540203352.8301
"1006","B3","NYISO","Lower",7126616324.52648
"1006","B3","NYISO","Upper",21414111552.0627
"1006","B3","NB","Lower",710984148.88513
"1006","B3","NB","Upper",2117300574.25758
"1006","C1","QC","Lower",4652259635.49212
"1006","C1","QC","Upper",13854362313.518
"1006","C1","NYISO","Lower",4418361002.46088
"1006","C1","NYISO","Upper",13276325127.5868
"1006","C1","NB","Lower",710984148.88513
"1006","C1","NB","Upper",2117300574.25758
"1006","C2","QC","Lower",4652259635.49212
"1006","C2","QC","Upper",13854362313.518
"1006","C2","NYISO","Lower",7126616324.52648
"1006","C2","NYISO","Upper",21414111552.0627
"1006","C2","NB","Lower",710984148.88513
"1006","C2","NB","Upper",2117300574.25758
"1006","C3","QC","Lower",24411747798.7411
"1006","C3","QC","Upper",72697834000.8768
"1006","C3","NYISO","Lower",7126616324.52648
"1006","C3","NYISO","Upper",21414111552.0627
"1006","C3","NB","Lower",710984148.88513
"1006","C3","NB","Upper",2117300574.25758
"1006","D","QC","Lower",24411747798.7411
"1006","D","QC","Upper",72697834000.8768
"1006","D","NYISO","Lower",7126616324.52648
"1006","D","NYISO","Upper",21414111552.0627
"1006","D","NB","Lower",710984148.88513
"1006","D","NB","Upper",2117300574.25758
"1007","A","QC","Lower",4679673039.04304
"1007","A","QC","Upper",13935999035.1971
"1007","A","NYISO","Lower",4472566521.81856
"1007","A","NYISO","Upper",13439202289.1183
"1007","A","NB","Lower",729060451.191319
"1007","A","NB","Upper",2171131542.66013
"1007","B1","QC","Lower",24471773878.9062
"1007","B1","QC","Upper",72876590804.6724
"1007","B1","NYISO","Lower",7214594921.08829
"1007","B1","NYISO","Upper",21678470315.7701
"1007","B1","NB","Lower",729060451.191319
"1007","B1","NB","Upper",2171131542.66013
"1007","B2","QC","Lower",4679673039.04304
"1007","B2","QC","Upper",13935999035.1971
"1007","B2","NYISO","Lower",7214594921.08829
"1007","B2","NYISO","Upper",21678470315.7701
"1007","B2","NB","Lower",729060451.191319
"1007","B2","NB","Upper",2171131542.66013
"1007","B3","QC","Lower",32821876222.4417
"1007","B3","QC","Upper",97743075542.483
"1007","B3","NYISO","Lower",7214594921.08829
"1007","B3","NYISO","Upper",21678470315.7701
"1007","B3","NB","Lower",729060451.191319
"1007","B3","NB","Upper",2171131542.66013
"1007","C1","QC","Lower",4679673039.04304
"1007","C1","QC","Upper",13935999035.1971
"1007","C1","NYISO","Lower",4472566521.81856
"1007","C1","NYISO","Upper",13439202289.1183
"1007","C1","NB","Lower",729060451.191319
"1007","C1","NB","Upper",2171131542.66013
"1007","C2","QC","Lower",4679673039.04304
"1007","C2","QC","Upper",13935999035.1971
"1007","C2","NYISO","Lower",7214594921.08829
"1007","C2","NYISO","Upper",21678470315.7701
"1007","C2","NB","Lower",729060451.191319
"1007","C2","NB","Upper",2171131542.66013
"1007","C3","QC","Lower",24471773878.9062
"1007","C3","QC","Upper",72876590804.6724
"1007","C3","NYISO","Lower",7214594921.08829
"1007","C3","NYISO","Upper",21678470315.7701
"1007","C3","NB","Lower",729060451.191319
"1007","C3","NB","Upper",2171131542.66013
"1007","D","QC","Lower",24471773878.9062
"1007","D","QC","Upper",72876590804.6724
"1007","D","NYISO","Lower",7214594921.08829
"1007","D","NYISO","Upper",21678470315.7701
"1007","D","NB","Lower",729060451.191319
"1007","D","NB","Upper",2171131542.66013
"1008","A","QC","Lower",4634648196.79066
"1008","A","QC","Upper",13801915702.2475
"1008","A","NYISO","Lower",4335589429.32555
"1008","A","NYISO","Upper",13027612467.9253
"1008","A","NB","Lower",695802274.123217
"1008","A","NB","Upper",2072089169.47154
"1008","B1","QC","Lower",24373490462.0175
"1008","B1","QC","Upper",72583904202.1021
"1008","B1","NYISO","Lower",6992004409.43823
"1008","B1","NYISO","Upper",21009628634.1293
"1008","B1","NB","Lower",695802274.123217
"1008","B1","NB","Upper",2072089169.47154
"1008","B2","QC","Lower",4634648196.79066
"1008","B2","QC","Upper",13801915702.2475
"1008","B2","NYISO","Lower",6992004409.43823
"1008","B2","NYISO","Upper",21009628634.1293
"1008","B2","NB","Lower",695802274.123217
"1008","B2","NB","Upper",2072089169.47154
"1008","B3","QC","Lower",32710537257.4898
"1008","B3","QC","Upper",97411509705.4674
"1008","B3","NYISO","Lower",6992004409.43823
"1008","B3","NYISO","Upper",21009628634.1293
"1008","B3","NB","Lower",695802274.123217
"1008","B3","NB","Upper",2072089169.47154
"1008","C1","QC","Lower",4634648196.79066
"1008","C1","QC","Upper",13801915702.2475
"1008","C1","NYISO","Lower",4335589429.32555
"1008","C1","NYISO","Upper",13027612467.9253
"1008","C1","NB","Lower",695802274.123217
"1008","C1","NB","Upper",2072089169.47154
"1008","C2","QC","Lower",4634648196.79066
"1008","C2","QC","Upper",13801915702.2475
"1008","C2","NYISO","Lower",6992004409.43823
"1008","C2","NYISO","Upper",21009628634.1293
"1008","C2","NB","Lower",695802274.123217
"1008","C2","NB","Upper",2072089169.47154
"1008","C3","QC","Lower",24373490462.0175
"1008","C3","QC","Upper",72583904202.1021
"1008","C3","NYISO","Lower",6992004409.43823
"1008","C3","NYISO","Upper",21009628634.1293
"1008","C3","NB","Lower",695802274.123217
"1008","C3","NB","Upper",2072089169.47154
"1008","D","QC","Lower",24373490462.0175
"1008","D","QC","Upper",72583904202.1021
"1008","D","NYISO","Lower",6992004409.43823
"1008","D","NYISO","Upper",21009628634.1293
"1008","D","NB","Lower",695802274.123217
"1008","D","NB","Upper",2072089169.47154
"1009","A","QC","Lower",4587982732.77242
"1009","A","QC","Upper",13662946621.2648
"1009","A","NYISO","Lower",4652541927.04771
"1009","A","NYISO","Upper",13979993771.177
"1009","A","NB","Lower",691130676.6246
"1009","A","NB","Upper",2058177219.27964
"1009","B1","QC","Lower",24271288846.7647
"1009","B1","QC","Upper",72279549261.1316
"1009","B1","NYISO","Lower",7504231776.35699
"1009","B1","NYISO","Upper",22548773366.4573
"1009","B1","NB","Lower",691130676.6246
"1009","B1","NB","Upper",2058177219.27964
"1009","B2","QC","Lower",4587982732.77242
"1009","B2","QC","Upper",13662946621.2648
"1009","B2","NYISO","Lower",7504231776.35699
"1009","B2","NYISO","Upper",22548773366.4573
"1009","B2","NB","Lower",691130676.6246
"1009","B2","NB","Upper",2058177219.27964
"1009","B3","QC","Lower",32594761946.7347
"1009","B3","QC","Upper",97066732494.4269
"1009","B3","NYISO","Lower",7504231776.35699
"1009","B3","NYISO","Upper",22548773366.4573
"1009","B3","NB","Lower",691130676.6246
"1009","B3","NB","Upper",2058177219.27964
"1009","C1","QC","Lower",4587982732.77242
"1009","C1","QC","Upper",13662946621.2648
"1009","C1","NYISO","Lower",4652541927.04771
"1009","C1","NYISO","Upper",13979993771.177
"1009","C1","NB","Lower",691130676.6246
"1009","C1","NB","Upper",2058177219.27964
"1009","C2","QC","Lower",4587982732.77242
"1009","C2","QC","Upper",13662946621.2648
"1009","C2","NYISO","Lower",7504231776.35699
"1009","C2","NYISO","Upper",22548773366.4573
"1009","C2","NB","Lower",691130676.6246
"1009","C2","NB","Upper",2058177219.27964
"1009","C3","QC","Lower",24271288846.7647
"1009","C3","QC","Upper",72279549261.1316
"1009","C3","NYISO","Lower",7504231776.35699
"1009","C3","NYISO","Upper",22548773366.4573
"1009","C3","NB","Lower",691130676.6246
"1009","C3","NB","Upper",2058177219.27964
"1009","D","QC","Lower",24271288846.7647
"1009","D","QC","Upper",72279549261.1316
"1009","D","NYISO","Lower",7504231776.35699
"1009","D","NYISO","Upper",22548773366.4573
"1009","D","NB","Lower",691130676.6246
"1009","D","NB","Upper",2058177219.27964
"101","A","QC","Lower",4690707097.64203
"101","A","QC","Upper",13968858303.079
"101","A","NYISO","Lower",4043440595.55825
"101","A","NYISO","Upper",12149761404.9226
"101","A","NB","Lower",728882756.329514
"101","A","NB","Upper",2170602369.91622
"101","B1","QC","Lower",24495864532.4755
