"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"C2","CAPEX","Nuclear","Advanced",0
"C2","CAPEX","Nuclear","Moderate",0
"C2","CAPEX","Nuclear","Conservative",0
"C2","FOM","Nuclear","Advanced",7013608006.99522
"C2","FOM","Nuclear","Moderate",9741122231.93781
"C2","FOM","Nuclear","Conservative",11355365344.6589
"C2","CAPEX","SMR","Advanced",13049138647.0181
"C2","CAPEX","SMR","Moderate",25173229596.9416
"C2","CAPEX","SMR","Conservative",38168597884.0836
"C2","FOM","SMR","Advanced",5043877091.29244
"C2","FOM","SMR","Moderate",5813282071.3201
"C2","FOM","SMR","Conservative",9232859760.33192
"C2","CAPEX","Hydropower","Advanced",0
"C2","CAPEX","Hydropower","Moderate",0
"C2","CAPEX","Hydropower","Conservative",0
"C2","FOM","Hydropower","Advanced",1663497054.82507
"C2","FOM","Hydropower","Moderate",2985109125.29314
"C2","FOM","Hydropower","Conservative",2985109125.29314
"C2","CAPEX","Biomass","Advanced",0
"C2","CAPEX","Biomass","Moderate",0
"C2","CAPEX","Biomass","Conservative",0
"C2","FOM","Biomass","Advanced",1400891554.98899
"C2","FOM","Biomass","Moderate",1400891554.98899
"C2","FOM","Biomass","Conservative",1400891554.98899
"C3","CAPEX","Solar","Advanced",41434082918.0665
"C3","CAPEX","Solar","Moderate",49481857400.0639
"C3","CAPEX","Solar","Conservative",61299903016.2878
"C3","FOM","Solar","Advanced",10692668690.4512
"C3","FOM","Solar","Moderate",12095027513.1164
"C3","FOM","Solar","Conservative",14083612281.8873
"C3","CAPEX","Onshore Wind","Advanced",11877219090.7203
"C3","CAPEX","Onshore Wind","Moderate",12639053943.4636
"C3","CAPEX","Onshore Wind","Conservative",14478432566.6728
"C3","FOM","Onshore Wind","Advanced",3922849299.72355
"C3","FOM","Onshore Wind","Moderate",4976927417.43461
"C3","FOM","Onshore Wind","Conservative",5404017033.56216
"C3","CAPEX","Offshore Wind","Advanced",70385123598.9363
"C3","CAPEX","Offshore Wind","Moderate",86734481618.6823
"C3","CAPEX","Offshore Wind","Conservative",111340467447.266
"C3","FOM","Offshore Wind","Advanced",16636814259.7068
"C3","FOM","Offshore Wind","Moderate",18156571360.3334
"C3","FOM","Offshore Wind","Conservative",20805477544.1968
"C3","CAPEX","Storage","Advanced",22412820402.6308
"C3","CAPEX","Storage","Moderate",28982097137.0744
"C3","CAPEX","Storage","Conservative",40271820539.0196
"C3","FOM","Storage","Advanced",9674090376.29551
"C3","FOM","Storage","Moderate",12805487656.1934
"C3","FOM","Storage","Conservative",18354107290.2787
"C3","CAPEX","Nuclear","Advanced",0
"C3","CAPEX","Nuclear","Moderate",0
"C3","CAPEX","Nuclear","Conservative",0
"C3","FOM","Nuclear","Advanced",7013608006.99522
"C3","FOM","Nuclear","Moderate",9741122231.93781
"C3","FOM","Nuclear","Conservative",11355365344.6589
"C3","CAPEX","SMR","Advanced",8194245354.11236
"C3","CAPEX","SMR","Moderate",14964289894.4198
"C3","CAPEX","SMR","Conservative",21873885132.0995
"C3","FOM","SMR","Advanced",3237251093.12172
"C3","FOM","SMR","Moderate",3731069056.47927
"C3","FOM","SMR","Conservative",5925815560.2906
"C3","CAPEX","Hydropower","Advanced",0
"C3","CAPEX","Hydropower","Moderate",0
