"Simulation","Pathway","NPV"
"107","D",2492207632.01639
"108","A",480890664871.519
"108","B1",5346987833.85019
"108","B2",11888589880.7741
"108","B3",4510280992.96372
"108","C1",5390423867.144
"108","C2",6748005877.38861
"108","C3",3207340551.02693
"108","D",2255515173.62805
"109","A",482281589724.123
"109","B1",5488557126.66413
"109","B2",12169973283.0174
"109","B3",4641253591.12797
"109","C1",5446407225.50764
"109","C2",6936964757.44426
"109","C3",3305090683.40113
"109","D",2235316480.81548
"11","A",487004375547.89
"11","B1",5402483398.72782
"11","B2",12345335849.9201
"11","B3",4536958220.14886
"11","C1",5473516283.85871
"11","C2",6843344785.77175
"11","C3",3170279015.13581
"11","D",2255801936.98815
"110","A",479776555080.113
"110","B1",5001609984.43453
"110","B2",10905027946.5113
"110","B3",4238056239.7709
"110","C1",5382229592.98103
"110","C2",6281895352.68069
"110","C3",3021738374.07773
"110","D",2187137427.88664
"294","A",490434407823.017
"294","B1",5083173118.61329
"294","B2",11240337760.4841
"294","B3",4333112621.38479
"294","C1",5574221814.3998
"294","C2",6540036277.08392
"294","C3",3016633688.68707
"294","D",2281253494.98691
"295","A",511090412772.193
"295","B1",6288064275.17101
"295","B2",13841677466.2883
"295","B3",5372887023.21185
"295","C1",6185057883.83942
"295","C2",7930455176.71335
"295","C3",3863510919.16575
"295","D",2801204961.72771
"296","A",472713377324.92
"296","B1",5134940357.44215
"296","B2",11287732594.3519
"296","B3",4333885437.85449
"296","C1",5075092648.39474
"296","C2",6407498948.42716
"296","C3",3085821750.65705
"296","D",2082449985.25876
"297","A",493984531674.381
"297","B1",5162076802.42211
"297","B2",11566835332.3869
"297","B3",4409067353.15433
"297","C1",5586307207.98465
"297","C2",6554585825.95024
"297","C3",3070435437.46411
"297","D",2458368957.13586
"298","A",480946165920.642
"298","B1",5107347510.27956
"298","B2",11624365340.7522
"298","B3",4293537051.89035
"298","C1",5282966516.18519
"298","C2",6456277178.43531
"298","C3",3044937301.30673
"298","D",2210342299.98909
"299","A",486202730091.478
"299","B1",4913169764.60046
"299","B2",11283265882.8106
"299","B3",4182675915.44822
"299","C1",5446033069.68023
"299","C2",6273356334.93263
"299","C3",2921163570.85785
"299","D",2280485076.66418
"3","A",503420367081.833
"3","B1",5089830161.86329
"3","B2",11526992838.1118
"3","B3",4311517738.77982
"3","C1",5730303294.73544
"3","C2",6513796642.69169
"3","C3",3063224180.89143
"3","D",2500346531.54058
