"Year","Simulation","Pathway","RP_mean","RP_max","RP_min","Battery_Discharges_GWh","Shortages_TWh","CO2_tons"
2040,831,"C1",0.0892942562021258,0.290671962943662,0.00842509697703529,298.180937608622,0.02595989,2265539.02893418
2041,831,"C1",0.0851777638969322,0.286462122366409,0.00713440945004238,204.817077850224,0.02456509,1665331.17160755
2042,831,"C1",0.0804445103325566,0.259412485280411,0.00608080032925574,157.594465009033,0.01873641,1214145.59167656
2043,831,"C1",0.0763165942678787,0.246696708456887,0.00870002547595271,129.118754458364,0.01410001,821058.709174917
2044,831,"C1",0.0724697560987377,0.234243751155876,0.00607549007884882,120.497073458002,0.00922489,562554.27327083
2045,831,"C1",0.0688734844059124,0.230074454948997,0.0062824267978421,88.4175924495545,0.00519414,402734.019427774
2046,831,"C1",0.0656845740456299,0.21859324438279,0.00619085637685304,59.6531916912911,0.00159375,259576.604060086
2047,831,"C1",0.0633222399416837,0.212361952250614,0.00471671869542627,33.9793054676734,0,187232.190448314
2048,831,"C1",0.060634282748672,0.203280798070251,0.00502334642881368,16.0496619512199,0,130530.018249909
2049,831,"C1",0.0584856452071276,0.191592932318828,0.00583344742855371,6.17623684674961,0,105000.680775094
2050,831,"C1",0.0561170128066461,0.193187385858813,0.00483751034321906,3.41547905518774,0,96793.0700436232
2025,831,"C2",0.172235015984867,0.531543227182363,0.0159945819207244,36.6532865588382,0.01675899,33353768.35149
2026,831,"C2",0.198261866591762,0.611106205804337,0.0164932812401052,35.8224823349907,0.00973372,32637981.264198
2027,831,"C2",0.224162141515369,0.640310177849589,0.0262543858923303,41.3637372608557,0.01445961,31945009.2623187
2028,831,"C2",0.251378412779872,0.693625742256479,0.0221158692459366,60.4148752562762,0.00721411,31112574.6980011
2029,831,"C2",0.277130011819924,0.722171327731815,0.0267859017623299,65.3263946716049,0.00276124,30409166.8132412
2030,831,"C2",0.303489565314653,0.750645853503013,0.0267867137021896,54.8719738634738,0.0218277,28708435.4508795
2031,831,"C2",0.334210826854419,0.788246363158233,0.0276641592715315,357.992235944223,0.07434835,23055229.3311898
2032,831,"C2",0.359351340649242,0.789507344880744,0.0253062900517379,408.674398441868,0.08149855,21520665.3176725
