"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"41","B2","NYISO","Lower",2667174878.4879
"41","B2","NYISO","Upper",8014347591.61026
"41","B2","NB","Lower",293455194.98117
"41","B2","NB","Upper",873890091.13088
"42","B1","QC","Lower",9379644867.45169
"42","B1","QC","Upper",27931959795.4932
"42","B1","NYISO","Lower",2550289487.08957
"42","B1","NYISO","Upper",7663129468.41816
"42","B1","NB","Lower",271224928.613925
"42","B1","NB","Upper",807689833.531821
"43","C1","QC","Lower",1738333418.62953
"43","C1","QC","Upper",5176641530.3007
"43","C1","NYISO","Lower",1545569606.52446
"43","C1","NYISO","Upper",4644139442.68167
"43","C1","NB","Lower",239292346.000962
"43","C1","NB","Upper",712596722.191682
"44","A","QC","Lower",4376392933.56663
"44","A","QC","Upper",13032607651.6876
"44","A","NYISO","Lower",4087365263.44977
"44","A","NYISO","Upper",12281746584.8851
"44","A","NB","Lower",664925392.726044
"44","A","NB","Upper",1980103681.86491
"45","A","QC","Lower",4376357616.16463
"45","A","QC","Upper",13032502478.8089
"45","A","NYISO","Lower",4087738891.45514
"45","A","NYISO","Upper",12282869265.1897
"45","A","NB","Lower",664951524.341813
"45","A","NB","Upper",1980181500.08205
"46","C3","QC","Lower",9182459966.41637
"46","C3","QC","Upper",27344756249.3217
"46","C3","NYISO","Lower",2457366997.41401
"46","C3","NYISO","Upper",7383915256.65267
"46","C3","NB","Lower",262395806.698076
"46","C3","NB","Upper",781397294.542548
"47","B3","QC","Lower",12011166880.334
"47","B3","QC","Upper",35768457669.7196
"47","B3","NYISO","Lower",2638546672.05748
"47","B3","NYISO","Upper",7928325336.71117
"47","B3","NB","Lower",278852072.066547
"47","B3","NB","Upper",830402960.4448
"48","B2","QC","Lower",2362130278.52558
"48","B2","QC","Upper",7034267171.50528
"48","B2","NYISO","Lower",2669272210.57356
"48","B2","NYISO","Upper",8020649671.1946
"48","B2","NB","Lower",293136397.826896
"48","B2","NB","Upper",872940734.367172
"49","C1","QC","Lower",1738861041.22874
"49","C1","QC","Upper",5178212755.37762
"49","C1","NYISO","Lower",1546737396.68443
"49","C1","NYISO","Upper",4647648427.53736
"49","C1","NB","Lower",239239483.51439
"49","C1","NB","Upper",712439301.215676
"50","B3","QC","Lower",12005384005.9737
"50","B3","QC","Upper",35751236653.7412
"50","B3","NYISO","Lower",2644464552.17677
"50","B3","NYISO","Upper",7946107428.41576
"50","B3","NB","Lower",277832927.714499
"50","B3","NB","Upper",827368016.215088
"51","C1","QC","Lower",1738039959.46672
"51","C1","QC","Upper",5175767628.39364
"51","C1","NYISO","Lower",1546027261.39828
"51","C1","NYISO","Upper",4645514607.56696
"51","C1","NB","Lower",239252745.418981
"51","C1","NB","Upper",712478794.287226
"52","C2","QC","Lower",2431435670.70261
"52","C2","QC","Upper",7240654028.92432
"52","C2","NYISO","Lower",2740424341.18519
"52","C2","NYISO","Upper",8234448140.58051
"52","C2","NB","Lower",298989768.936164
"52","C2","NB","Upper",890371684.984451
"53","C2","QC","Lower",2433615418.80841
"53","C2","QC","Upper",7247145174.09195
"53","C2","NYISO","Lower",2745750103.55964
"53","C2","NYISO","Upper",8250451032.33065
"53","C2","NB","Lower",298567359.34478
"53","C2","NB","Upper",889113777.260811
"54","B2","QC","Lower",2362856845.38182
"54","B2","QC","Upper",7036430839.37374
"54","B2","NYISO","Lower",2667503088.38214
"54","B2","NYISO","Upper",8015333799.22517
"54","B2","NB","Lower",292519623.1879
"54","B2","NB","Upper",871104020.433672
"55","D","QC","Lower",21466241714.7173
"55","D","QC","Upper",63925042899.7023
"55","D","NYISO","Lower",5974345125.30639
"55","D","NYISO","Upper",17951758189.0216
"55","D","NB","Lower",585788602.964742
"55","D","NB","Upper",1744439575.04701
"56","A","QC","Lower",4376372254.13653
"56","A","QC","Upper",13032546069.7175
"56","A","NYISO","Lower",4088848501.34787
"56","A","NYISO","Upper",12286203429.5309
"56","A","NB","Lower",665020965.885565
"56","A","NB","Upper",1980388292.38982
"57","D","QC","Lower",21464691295.3102
"57","D","QC","Upper",63920425853.6245
"57","D","NYISO","Lower",5974394646.08734
"57","D","NYISO","Upper",17951906989.4451
"57","D","NB","Lower",586144020.412827
"57","D","NB","Upper",1745497984.61483
"58","B2","QC","Lower",2362859944.22073
"58","B2","QC","Upper",7036440067.51033
"58","B2","NYISO","Lower",2667768566.9239
"58","B2","NYISO","Upper",8016131511.18959
"58","B2","NB","Lower",293063910.855634
"58","B2","NB","Upper",872724872.978431
"59","B3","QC","Lower",11994394183.0947
"59","B3","QC","Upper",35718509690.7108
"59","B3","NYISO","Lower",2638021418.00163
"59","B3","NYISO","Upper",7926747049.28374
"59","B3","NB","Lower",278825931.882347
"59","B3","NB","Upper",830325116.711434
"60","B1","QC","Lower",9381542280.63988
"60","B1","QC","Upper",27937610166.0175
"60","B1","NYISO","Lower",2548037477.71304
"60","B1","NYISO","Upper",7656362613.32043
"60","B1","NB","Lower",271747969.144105
"60","B1","NB","Upper",809247413.511324
"61","B2","QC","Lower",2363500002.00022
"61","B2","QC","Upper",7038346117.09069
"61","B2","NYISO","Lower",2671434346.15986
"61","B2","NYISO","Upper",8027146472.83612
"61","B2","NB","Lower",292477941.075486
"61","B2","NB","Upper",870979893.869758
"62","B1","QC","Lower",9391225051.8767
"62","B1","QC","Upper",27966444816.0195
"62","B1","NYISO","Lower",2550930873.14493
"62","B1","NYISO","Upper",7665056710.17105
"62","B1","NB","Lower",270916947.5571
"62","B1","NB","Upper",806772686.388344
"63","C3","QC","Lower",9189366014.55969
"63","C3","QC","Upper",27365322002.2698
"63","C3","NYISO","Lower",2460409026.19763
"63","C3","NYISO","Upper",7393055968.14193
"63","C3","NB","Lower",261843900.267448
"63","C3","NB","Upper",779753753.827627
"64","B3","QC","Lower",12008945138.3242
"64","B3","QC","Upper",35761841469.4933
"64","B3","NYISO","Lower",2640437802.56838
"64","B3","NYISO","Upper",7934007820.21747
"64","B3","NB","Lower",278100291.765344
"64","B3","NB","Upper",828164208.61091
"65","A","QC","Lower",4376250205.16049
"65","A","QC","Upper",13032182615.9684
"65","A","NYISO","Lower",4088131174.35668
"65","A","NYISO","Upper",12284047999.8698
"65","A","NB","Lower",665026999.341618
"65","A","NB","Upper",1980406259.62145
"66","C1","QC","Lower",1738316882.81305
"66","C1","QC","Upper",5176592287.73686
"66","C1","NYISO","Lower",1546943752.07002
"66","C1","NYISO","Upper",4648268485.78732
"66","C1","NB","Lower",239233259.779896
"66","C1","NB","Upper",712420767.347484
"67","C3","QC","Lower",9184558067.49566
"67","C3","QC","Upper",27351004255.0641
