County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Rockingham,NH,8,B1,311108.812000726,11254721.5152383,2231649.20823021,33495.3038866754,1187918.84114375,54605.5029950596,15073499.1834948,1.48570930627337
Rockingham,NH,9,B2,332891.366300503,11770854.3336151,2699436.65606048,35991.9913571097,1416362.28158486,65309.7149773672,16320846.3438954,1.61814526600094
Rockingham,NH,10,C2,348987.146351972,12508586.8191354,2732562.5477696,37307.7343689187,1438217.59281461,66257.2285124196,17131919.0689529,1.68887075926683
Carroll,NH,5,A,17806.2225102787,149.410804173236,12893.1045812528,894.057923728549,6839.54944077393,796.910713000829,39379.2559732081,0.00531771959997213
Providence,RI,1,B3,266947.257551884,271589.405905836,12423236.3101769,0,4989269.22934949,273493.694210931,18224535.8971951,2.05718303997247
Providence,RI,2,C2,322489.962073291,319809.868153416,14644777.3101233,0,5881457.53487911,322400.23029756,21490934.9055267,2.39797261069819
Providence,RI,3,B1,260226.731889329,266028.057814407,12073174.1411651,0,4848681.51415169,265787.184134478,17713897.629155,2.00612550006459
Providence,RI,4,B3,266997.44799314,272685.776655808,12409426.0258238,0,4983722.91073723,273189.665084258,18206021.8262942,2.05476336649377
Providence,RI,5,A,1401422.20446005,1246961.38260419,49767186.0099186,0,19986892.5931316,1095609.16435158,73498071.354466,9.96667023499978
Providence,RI,6,B2,318487.681812473,311777.079277172,14549949.3666112,0,5843373.88832883,320312.622532721,21343900.6385624,2.41924961444029
Providence,RI,7,B1,260043.331529412,266666.730200791,12052331.6657141,0,4840311.01238912,265328.34350187,17684681.0833353,2.00272733510663
Providence,RI,8,B1,260601.432801456,265548.304455835,12084358.7167623,0,4853173.32751476,266033.409097274,17729715.1906317,2.00873381111234
Providence,RI,9,B2,319568.395935606,313824.694731388,14535163.6738191,0,5837435.83803013,319987.120091793,21325979.722608,2.41689331482004
Providence,RI,10,C2,322192.666857591,317621.801920395,14655041.5044337,0,5885579.71589204,322626.193351789,21503061.8824555,2.39986567432506
Berkshire,MA,1,B3,9355.6007959781,3017.80103606741,181479.419562563,0,94894.0340700743,4160.40730661894,292907.262771302,0.0333619777244865
Berkshire,MA,2,C2,11609.3908506845,3773.93855179713,231920.67231843,0,121269.333093457,5316.77069496544,373890.105509334,0.0421109218208571
Berkshire,MA,3,B1,9225.1776486738,2961.85388531544,178073.665161926,0,93113.1942651677,4082.33054437717,287456.22150546,0.0329897533247893
Berkshire,MA,4,B3,9302.87592940581,3000.15705974533,179716.638559067,0,93972.2909820314,4119.99563357859,290111.958163828,0.0331034400523031
Berkshire,MA,5,A,55026.5899507989,17282.1673784391,1154190.25246931,0,603516.197071659,26459.7581983463,1856474.96506855,0.270177189741927
Berkshire,MA,6,B2,11812.4469542371,3873.9261685219,240008.035718764,0,125498.146145086,5502.17312717032,386694.728113779,0.0444487691779575
Berkshire,MA,7,B1,9107.90642309395,2951.29422462503,176234.52728188,0,92151.5248203937,4040.16839347066,284485.421143464,0.0326250590210171
Berkshire,MA,8,B1,9153.47217728619,2966.37024673972,177701.093069975,0,92918.3795094647,4073.78934638715,286813.104349852,0.0328526581187995
Berkshire,MA,9,B2,11803.6408766517,3875.83206458442,238384.586865963,0,124649.258645225,5464.95563724561,384178.27408967,0.0441768875988269
Berkshire,MA,10,C2,11527.3055939115,3770.47486229441,232552.286062668,0,121599.59851038,5331.25041086282,374780.915440117,0.0421756241996224
New Haven,CT,5,A,3013096.85792071,17713815.687558,74875518.7962592,174215.353364439,26203585.9180659,1625595.21730332,123605827.830472,16.1373599656319
