"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"C3","FOM","SMR","Advanced",2511551782.87813
"C3","FOM","SMR","Moderate",2894669851.45276
"C3","FOM","SMR","Conservative",4597416822.89556
"C3","CAPEX","Hydropower","Advanced",0
"C3","CAPEX","Hydropower","Moderate",0
"C3","CAPEX","Hydropower","Conservative",0
"C3","FOM","Hydropower","Advanced",1413323574.64976
"C3","FOM","Hydropower","Moderate",2493819517.41095
"C3","FOM","Hydropower","Conservative",2493819517.41095
"C3","CAPEX","Biomass","Advanced",0
"C3","CAPEX","Biomass","Moderate",0
"C3","CAPEX","Biomass","Conservative",0
"C3","FOM","Biomass","Advanced",1170332659.5354
"C3","FOM","Biomass","Moderate",1170332659.5354
"C3","FOM","Biomass","Conservative",1170332659.5354
"D","CAPEX","Solar","Advanced",7320867880.16464
"D","CAPEX","Solar","Moderate",8675662003.90173
"D","CAPEX","Solar","Conservative",10687012694.2546
"D","FOM","Solar","Advanced",3567450623.40517
"D","FOM","Solar","Moderate",3982190129.5593
"D","FOM","Solar","Conservative",4558891282.81814
"D","CAPEX","Onshore Wind","Advanced",4027039482.00742
"D","CAPEX","Onshore Wind","Moderate",4283802874.95182
"D","CAPEX","Onshore Wind","Conservative",4903900883.59796
"D","FOM","Onshore Wind","Advanced",2079563796.28939
"D","FOM","Onshore Wind","Moderate",2562705771.0446
"D","FOM","Onshore Wind","Conservative",2763831716.32634
"D","CAPEX","Offshore Wind","Advanced",3199989967.36966
"D","CAPEX","Offshore Wind","Moderate",3997938416.88128
"D","CAPEX","Offshore Wind","Conservative",5212222009.10552
"D","FOM","Offshore Wind","Advanced",1895112748.5733
"D","FOM","Offshore Wind","Moderate",2059107482.11738
"D","FOM","Offshore Wind","Conservative",2332647547.51088
"D","CAPEX","Storage","Advanced",18942077781.7753
"D","CAPEX","Storage","Moderate",24382379917.5716
"D","CAPEX","Storage","Conservative",33662865638.5505
"D","FOM","Storage","Advanced",7849863301.11031
"D","FOM","Storage","Moderate",10330202729.0191
"D","FOM","Storage","Conservative",14692266644.4315
"D","CAPEX","Nuclear","Advanced",0
"D","CAPEX","Nuclear","Moderate",0
"D","CAPEX","Nuclear","Conservative",0
