Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD,County
2036,70,D,12358.2354435004,108126.649642623,3582216.2272117,0,1542320.96909821,83556.7988994626,5328578.8802955,
2036,73,D,12332.9555908479,107905.467113509,3574888.49027,0,1539166.01651457,83385.8761513118,5317678.80564024,
2036,87,D,12303.1192210009,107644.417975564,3566239.97983213,0,1535442.40572344,83184.1457694472,5304814.06852158,
2037,94,D,60381.5029931533,170677.235626041,6058750.99363755,0,2433241.96257005,133381.523958992,8856433.21878579,
2037,17,D,60415.0234738112,170771.986215078,6062114.47807279,0,2434592.76432389,133455.570025624,8861349.82211119,
2037,21,D,60393.4571801291,170711.025900977,6059950.49081181,0,2433723.69005175,133407.930517251,8858186.59446192,
2037,23,D,60430.2961014671,170815.156552679,6063646.95148598,0,2435208.21767713,133489.306952508,8863589.92876976,
2037,25,D,60360.4951398656,170617.853826188,6056643.04094225,0,2432395.39221938,133335.118034202,8853351.90016189,
2037,26,D,60149.9962736673,170022.847693445,6035521.33724959,0,2423912.75020291,132870.130278459,8822477.06169808,
2037,30,D,60177.4753698013,170100.521416906,6038278.62205956,0,2425020.09742834,132930.831048358,8826507.54732297,
2037,55,D,60361.4260215346,170620.485100702,6056736.44670324,0,2432432.90470627,133337.17433306,8853488.43686481,
2037,57,D,60299.612542261,170445.760172638,6050534.00952622,0,2429941.95724446,133200.629602339,8844421.96908791,
2037,70,D,60469.4553779683,170925.84603093,6067576.23932498,0,2436786.2505197,133575.809005586,8869333.60025917,
2037,73,D,60395.4526930343,170716.66651291,6060150.7229226,0,2433804.10483934,133412.338565066,8858479.28553295,
2037,87,D,60403.1191329433,170738.336837528,6060919.98251559,0,2434113.04553087,133429.273576414,8859603.75759334,
2038,94,D,70118.6201411503,198200.635266747,7035784.77503053,0,2825626.39926838,154890.619622185,10284621.049329,
2038,17,D,70055.2244093217,198021.437868163,7029423.57277208,0,2823071.6905035,154750.579727438,10275322.5052805,
2038,21,D,70135.681054282,198248.860457348,7037496.68711064,0,2826313.91659892,154928.306835666,10287123.4520569,
2038,23,D,70173.748042918,198356.462422634,7041316.37350118,0,2827847.93263937,155012.39604685,10292706.9126529,
2038,25,D,70127.7405258208,198226.415380958,7036699.92515012,0,2825993.93074069,154910.766368227,10285958.7781658,
2038,26,D,70054.276098572,198018.757327778,7029328.41815664,0,2823033.47566294,154748.484928092,10275183.412174,
2038,30,D,70094.8025625452,198133.311363331,7033394.89119382,0,2824666.60315805,154838.007070759,10281127.6153485,
2038,55,D,70272.5650605351,198635.783316676,7051231.78921621,0,2831830.04143035,155230.680848478,10307200.8598723,
2038,57,D,70159.186596309,198315.302343293,7039855.26083028,0,2827261.13832044,154980.230104575,10290571.1181949,
2038,70,D,70208.3493228621,198454.268050471,7044788.30660735,0,2829242.28823082,155088.829577337,10297782.0417888,
2038,73,D,70048.7305370724,198003.081979205,7028771.96999652,0,2822810.00171351,154736.234894434,10274370.0191207,
2038,87,D,69996.5011474853,197855.447896063,7023531.21164551,0,2820705.27201777,154620.861224796,10266709.2939316,
2039,94,D,67813.7330813828,258151.653605762,10943261.4934211,0,3679460.98815865,234195.359745595,15182883.2280125,
2039,17,D,67712.4788551884,257766.201504265,10926921.8609571,0,3673967.10132719,233845.677330959,15160213.3199747,
2039,21,D,67745.4353752384,257891.659575387,10932240.132057,0,3675755.26759262,233959.492980362,15167591.9875806,
2039,23,D,67731.3383180626,257837.99524435,10929965.2568075,0,3674990.38458782,233910.808661911,15164435.7836196,
2039,25,D,67680.4266419697,257644.185926178,10921749.5199761,0,3672228.00125463,233734.984713634,15153037.1185125,
2039,26,D,67748.1655832562,257902.052864216,10932680.7121418,0,3675903.4041637,233968.921779218,15168203.2565322,
2039,30,D,67655.0025104532,257547.401966731,10917646.7681176,0,3670848.5299319,233647.182238291,15147344.884765,
2039,55,D,67763.165377083,257959.153710964,10935101.2641264,0,3676717.268166,234020.723707113,15171561.5750875,
2039,57,D,67759.2364387531,257944.197125024,10934467.2421137,0,3676504.09047096,234007.155081942,15170681.9212304,
2039,70,D,67757.9624528993,257939.347346965,10934261.6560222,0,3676434.96610581,234002.755359913,15170396.6872877,
