Year,Simulation,Pathway,Fossil_new.gen_hr_TWh,Facility_Unit.ID,PM_lbs_mmBTU,CO,NH3,PM2.5,NOx,SO2,VOC,PM10,index,Facility_ID,Unit_ID,Similar_Facility_Unit_ID,CF,Estimated_NameplateCapacity_MW,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Ramp,Retirement_year,Commercial_Operation_Date,Latitude,Longitude,State,County,total_HI_mmBtu,PM.total_tons,PM2.5_tons,PM10_tons,total_NOx_tons,total_SO2_tons,CO_tons,VOC_tons,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD
2036,25,D,25.1976855270862,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103257285.800143,508.647351375545,508.647351375545,0,440.573883306593,44.7853548178375,1405.10318059543,98.3572226416799,12232.4034527902,107025.700268778,3545741.9747923,0,1526617.0023998,82706.0206155431
2036,26,D,25.2813494723323,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103600131.252999,510.336214589164,510.336214589164,0,442.036721995099,44.9340557558375,1409.76854858885,98.6837984012196,12273.0187359519,107381.057998661,3557514.91172006,0,1531685.83307329,82980.6296455218
2036,30,D,25.1863475011305,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103210823.842942,508.418478891761,508.418478891761,0,440.375641364135,44.7652030656135,1404.47093616508,98.3129655315559,12226.8993239408,106977.54266453,3544146.52212665,0,1525930.08124671,82668.8059671015
2036,55,D,25.412621033333,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,104138067.369278,512.986098116847,512.986098116847,0,444.331965394959,45.1673725591045,1417.08866883107,99.1962068181748,12336.7454895187,107938.62630097,3575987.04811672,0,1539638.99991236,83411.5005054144
2036,57,D,25.3489229159452,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103877039.63699,511.70027054899,511.70027054899,0,443.218223146422,45.0541580821092,1413.53665897511,98.9475661282577,12305.8227656743,107668.072260922,3567023.64200173,0,1535779.81098326,83202.4250407577
2036,70,D,25.4568884665086,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,104319470.339568,513.879692594512,513.879692594512,0,445.105968027749,45.246051717931,1419.55716186329,99.3690013304306,12358.2354435004,108126.649642623,3582216.2272117,0,1542320.96909821,83556.7988994626
2036,73,D,25.4048141722157,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,104106075.729065,512.828506689428,512.828506689428,0,444.195464797903,45.153496957523,1416.65333339621,99.1657333377346,12332.9555908479,107905.467113509,3574888.49027,0,1539166.01651457,83385.8761513118
2036,87,D,25.3433538494284,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103854218.227764,511.587851853616,511.587851853616,0,443.120849708728,45.0442598468253,1413.22611009286,98.9258277065002,12303.1192210009,107644.417975564,3566239.97983213,0,1535442.40572344,83184.1457694472
2037,94,D,30.5496299511116,55107_RISEP1,0.01086,1428.34059074282,17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,5,NGCC3004,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2037-01-01,41.8017,-71.5186,RI,Providence,125188953.071092,616.683160976524,616.683160976524,0,534.151007110257,54.2976860094333,1703.54464358156,119.248125050709,60381.5029931533,170677.235626041,6058750.99363755,0,2433241.96257005,133381.523958992
2037,17,D,30.5665894209678,55107_RISEP1,0.01086,1428.34059074282,17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,5,NGCC3004,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2037-01-01,41.8017,-71.5186,RI,Providence,125258451.074156,617.025509459833,617.025509459833,0,534.447538293065,54.3278290904006,1704.49035762385,119.314325033669,60415.0234738112,170771.986215078,6062114.47807279,0,2434592.76432389,133455.570025624
