"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1006","A","NB","Upper",2248061122.37323
"1006","B1","QC","Lower",26362542439.0815
"1006","B1","QC","Upper",78507272395.1477
"1006","B1","NYISO","Lower",7644628583.09779
"1006","B1","NYISO","Upper",22970638771.3275
"1006","B1","NB","Lower",754893208.439582
"1006","B1","NB","Upper",2248061122.37323
"1006","B2","QC","Lower",4939586598.70763
"1006","B2","QC","Upper",14710017879.3557
"1006","B2","NYISO","Lower",7644628583.09779
"1006","B2","NYISO","Upper",22970638771.3275
"1006","B2","NB","Lower",754893208.439582
"1006","B2","NB","Upper",2248061122.37323
"1006","B3","QC","Lower",35565385826.9667
"1006","B3","QC","Upper",105913207704.009
"1006","B3","NYISO","Lower",7644628583.09779
"1006","B3","NYISO","Upper",22970638771.3275
"1006","B3","NB","Lower",754893208.439582
"1006","B3","NB","Upper",2248061122.37323
"1006","C1","QC","Lower",4939586598.70763
"1006","C1","QC","Upper",14710017879.3557
"1006","C1","NYISO","Lower",4691253502.57864
"1006","C1","NYISO","Upper",14096314611.1137
"1006","C1","NB","Lower",754893208.439582
"1006","C1","NB","Upper",2248061122.37323
"1006","C2","QC","Lower",4939586598.70763
"1006","C2","QC","Upper",14710017879.3557
"1006","C2","NYISO","Lower",7644628583.09779
"1006","C2","NYISO","Upper",22970638771.3275
"1006","C2","NB","Lower",754893208.439582
"1006","C2","NB","Upper",2248061122.37323
"1006","C3","QC","Lower",26362542439.0815
"1006","C3","QC","Upper",78507272395.1477
"1006","C3","NYISO","Lower",7644628583.09779
"1006","C3","NYISO","Upper",22970638771.3275
"1006","C3","NB","Lower",754893208.439582
"1006","C3","NB","Upper",2248061122.37323
"1006","D","QC","Lower",26362542439.0815
"1006","D","QC","Upper",78507272395.1477
"1006","D","NYISO","Lower",7644628583.09779
"1006","D","NYISO","Upper",22970638771.3275
"1006","D","NB","Lower",754893208.439582
"1006","D","NB","Upper",2248061122.37323
"1007","A","QC","Lower",4968705908.48769
"1007","A","QC","Upper",14796734765.2609
"1007","A","NYISO","Lower",4748893771.02928
"1007","A","NYISO","Upper",14269512533.1409
"1007","A","NB","Lower",774090269.255714
"1007","A","NB","Upper",2305229693.50634
"1007","B1","QC","Lower",26426887970.8785
"1007","B1","QC","Upper",78698892463.8066
"1007","B1","NYISO","Lower",7739087179.1095
"1007","B1","NYISO","Upper",23254468687.2281
"1007","B1","NB","Lower",774090269.255714
"1007","B1","NB","Upper",2305229693.50634
"1007","B2","QC","Lower",4968705908.48769
"1007","B2","QC","Upper",14796734765.2609
"1007","B2","NYISO","Lower",7739087179.1095
"1007","B2","NYISO","Upper",23254468687.2281
"1007","B2","NB","Lower",774090269.255714
"1007","B2","NB","Upper",2305229693.50634
"1007","B3","QC","Lower",35638642071.1034
"1007","B3","QC","Upper",106131363745.915
"1007","B3","NYISO","Lower",7739087179.1095
"1007","B3","NYISO","Upper",23254468687.2281
"1007","B3","NB","Lower",774090269.255714
"1007","B3","NB","Upper",2305229693.50634
"1007","C1","QC","Lower",4968705908.48769
"1007","C1","QC","Upper",14796734765.2609
"1007","C1","NYISO","Lower",4748893771.02928
"1007","C1","NYISO","Upper",14269512533.1409
"1007","C1","NB","Lower",774090269.255714
"1007","C1","NB","Upper",2305229693.50634
"1007","C2","QC","Lower",4968705908.48769
"1007","C2","QC","Upper",14796734765.2609
"1007","C2","NYISO","Lower",7739087179.1095
"1007","C2","NYISO","Upper",23254468687.2281
"1007","C2","NB","Lower",774090269.255714
"1007","C2","NB","Upper",2305229693.50634
"1007","C3","QC","Lower",26426887970.8785
"1007","C3","QC","Upper",78698892463.8066
"1007","C3","NYISO","Lower",7739087179.1095
"1007","C3","NYISO","Upper",23254468687.2281
"1007","C3","NB","Lower",774090269.255714
"1007","C3","NB","Upper",2305229693.50634
"1007","D","QC","Lower",26426887970.8785
"1007","D","QC","Upper",78698892463.8066
"1007","D","NYISO","Lower",7739087179.1095
"1007","D","NYISO","Upper",23254468687.2281
"1007","D","NB","Lower",774090269.255714
"1007","D","NB","Upper",2305229693.50634
"1008","A","QC","Lower",4920904947.23122
"1008","A","QC","Upper",14654384189.8267
"1008","A","NYISO","Lower",4603333329.05538
"1008","A","NYISO","Upper",13832131397.402
"1008","A","NB","Lower",738776173.878183
"1008","A","NB","Upper",2200064825.14819
"1008","B1","QC","Lower",26321597242.6756
"1008","B1","QC","Upper",78385338188.88
"1008","B1","NYISO","Lower",7500144062.60316
"1008","B1","NYISO","Upper",22536490572.7258
"1008","B1","NB","Lower",738776173.878183
"1008","B1","NB","Upper",2200064825.14819
"1008","B2","QC","Lower",4920904947.23122
"1008","B2","QC","Upper",14654384189.8267
"1008","B2","NYISO","Lower",7500144062.60316
"1008","B2","NYISO","Upper",22536490572.7258
"1008","B2","NB","Lower",738776173.878183
"1008","B2","NB","Upper",2200064825.14819
"1008","B3","QC","Lower",35518996773.6911
"1008","B3","QC","Upper",105775061770.245
"1008","B3","NYISO","Lower",7500144062.60316
