"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"C2","CAPEX","Storage","Advanced",21162369749.1275
"C2","CAPEX","Storage","Moderate",27322517390.069
"C2","CAPEX","Storage","Conservative",37882957172.047
"C2","FOM","Storage","Advanced",9008954355.11149
"C2","FOM","Storage","Moderate",11901672560.6574
"C2","FOM","Storage","Conservative",17014724069.6142
"C2","CAPEX","Nuclear","Advanced",0
"C2","CAPEX","Nuclear","Moderate",0
"C2","CAPEX","Nuclear","Conservative",0
"C2","FOM","Nuclear","Advanced",6503537935.08848
"C2","FOM","Nuclear","Moderate",9032691576.51178
"C2","FOM","Nuclear","Conservative",10529537609.1909
"C2","CAPEX","SMR","Advanced",12288178510.1406
"C2","CAPEX","SMR","Moderate",23663361992.0858
"C2","CAPEX","SMR","Conservative",35841091206.7554
"C2","FOM","SMR","Advanced",4600039752.15499
"C2","FOM","SMR","Moderate",5301740731.29728
"C2","FOM","SMR","Conservative",8420411749.70745
"C2","CAPEX","Hydropower","Advanced",0
"C2","CAPEX","Hydropower","Moderate",0
"C2","CAPEX","Hydropower","Conservative",0
"C2","FOM","Hydropower","Advanced",1573026717.34992
"C2","FOM","Hydropower","Moderate",2806884488.29927
"C2","FOM","Hydropower","Conservative",2806884488.29927
"C2","CAPEX","Biomass","Advanced",0
"C2","CAPEX","Biomass","Moderate",0
"C2","CAPEX","Biomass","Conservative",0
"C2","FOM","Biomass","Advanced",1317251936.34316
"C2","FOM","Biomass","Moderate",1317251936.34316
"C2","FOM","Biomass","Conservative",1317251936.34316
"C3","CAPEX","Solar","Advanced",39182864348.0342
"C3","CAPEX","Solar","Moderate",46695934437.2685
"C3","CAPEX","Solar","Conservative",57708284888.6285
"C3","FOM","Solar","Advanced",9911104609.73579
"C3","FOM","Solar","Moderate",11204046326.1341
"C3","FOM","Solar","Conservative",13033490474.9358
"C3","CAPEX","Onshore Wind","Advanced",11143650945.2815
"C3","CAPEX","Onshore Wind","Moderate",11848905245.4193
"C3","CAPEX","Onshore Wind","Conservative",13553645962.6917
"C3","FOM","Onshore Wind","Advanced",3655544978.38793
"C3","FOM","Onshore Wind","Moderate",4619023962.61038
"C3","FOM","Onshore Wind","Conservative",5010885168.66052
"C3","CAPEX","Offshore Wind","Advanced",65539477305.931
"C3","CAPEX","Offshore Wind","Moderate",80895370002.4786
"C3","CAPEX","Offshore Wind","Conservative",104103740664.771
"C3","FOM","Offshore Wind","Advanced",15262016432.7623
"C3","FOM","Offshore Wind","Moderate",16653630690.8055
"C3","FOM","Offshore Wind","Conservative",19075091092.3336
"C3","CAPEX","Storage","Advanced",21162369749.1275
"C3","CAPEX","Storage","Moderate",27322517390.069
"C3","CAPEX","Storage","Conservative",37882957172.047
"C3","FOM","Storage","Advanced",9008954355.11149
"C3","FOM","Storage","Moderate",11901672560.6574
"C3","FOM","Storage","Conservative",17014724069.6142
"C3","CAPEX","Nuclear","Advanced",0
"C3","CAPEX","Nuclear","Moderate",0
"C3","CAPEX","Nuclear","Conservative",0
"C3","FOM","Nuclear","Advanced",6503537935.08848
"C3","FOM","Nuclear","Moderate",9032691576.51178
"C3","FOM","Nuclear","Conservative",10529537609.1909
"C3","CAPEX","SMR","Advanced",7818178674.87674
"C3","CAPEX","SMR","Moderate",14263113622.9704
"C3","CAPEX","SMR","Conservative",20838710307.2039
"C3","FOM","SMR","Advanced",2971523291.90687
"C3","FOM","SMR","Moderate",3424806505.92656
"C3","FOM","SMR","Conservative",5439398568.23631
"C3","CAPEX","Hydropower","Advanced",0
"C3","CAPEX","Hydropower","Moderate",0
"C3","CAPEX","Hydropower","Conservative",0
"C3","FOM","Hydropower","Advanced",1573026717.34992
"C3","FOM","Hydropower","Moderate",2806884488.29927
"C3","FOM","Hydropower","Conservative",2806884488.29927
"C3","CAPEX","Biomass","Advanced",0
"C3","CAPEX","Biomass","Moderate",0
"C3","CAPEX","Biomass","Conservative",0
"C3","FOM","Biomass","Advanced",1317251936.34316
"C3","FOM","Biomass","Moderate",1317251936.34316
"C3","FOM","Biomass","Conservative",1317251936.34316
"D","CAPEX","Solar","Advanced",8223188635.39652
"D","CAPEX","Solar","Moderate",9789924594.51273
"D","CAPEX","Solar","Conservative",12126426801.3401
"D","FOM","Solar","Advanced",4043086383.25842
"D","FOM","Solar","Moderate",4523083799.93681
"D","FOM","Solar","Conservative",5193653401.49578
"D","CAPEX","Onshore Wind","Advanced",4583966310.60794
"D","CAPEX","Onshore Wind","Moderate",4884121529.59796
"D","CAPEX","Onshore Wind","Conservative",5607355757.15112
"D","FOM","Onshore Wind","Advanced",2357157324.53275
"D","FOM","Onshore Wind","Moderate",2929379938.74617
