"Simulation","Pathway","NPV"
"332","C2",6291779953.24724
"332","C3",3059555722.00597
"332","D",2317457444.08911
"333","A",434557589297.433
"333","B1",5118035830.00763
"333","B2",11124893349.2922
"333","B3",4365226831.26293
"333","C1",5149654553.304
"333","C2",6500887797.07413
"333","C3",3120501067.84203
"333","D",2142129502.17925
"334","A",436337035616.033
"334","B1",5100540480.64543
"334","B2",11324545773.4067
"334","B3",4292869962.7253
"334","C1",5235829501.93314
"334","C2",6420190208.8961
"334","C3",3051014411.33198
"334","D",2150339794.46866
"335","A",440183191970.345
"335","B1",5099008670.23491
"335","B2",11314703828.6094
"335","B3",4346113517.30224
"335","C1",5275831228.82139
"335","C2",6493889271.24537
"335","C3",3115114867.26267
"335","D",2239772742.11499
"336","A",445173850945.828
"336","B1",5049329990.04095
"336","B2",11462585940.3751
"336","B3",4254324759.92779
"336","C1",5395540887.96392
"336","C2",6449162041.74305
"336","C3",3014303413.34742
"336","D",2104569671.18104
"337","A",446723304290.424
"337","B1",5389759088.23745
"337","B2",11908624435.4891
"337","B3",4561023227.91735
"337","C1",5370517631.87865
"337","C2",6767254977.02064
"337","C3",3253742734.87492
"337","D",2291989856.0882
"338","A",440885641575.92
"338","B1",4938084946.52192
"338","B2",10769631798.9456
"338","B3",4244377258.05301
"338","C1",5296298203.1838
"338","C2",6278880391.15827
"338","C3",3025830454.71701
"338","D",2196874894.82471
"339","A",438911539441.362
"339","B1",4946886336.79249
"339","B2",10867965317.2524
"339","B3",4211316955.53393
"339","C1",5288589461.76412
"339","C2",6304125418.0557
"339","C3",2990997108.37508
"339","D",2173779301.27804
"34","A",448612352284.901
"34","B1",4878656765.65491
"34","B2",10724297495.8317
"34","B3",4161615778.74676
"34","C1",5412580812.96525
"34","C2",6217764888.558
"34","C3",2910762223.4051
"34","D",2283372283.7173
"340","A",437167042813.709
"340","B1",5046971831.233
"340","B2",11405793850.3717
"340","B3",4248213145.95452
"340","C1",5094422420.95666
"340","C2",6379245237.42889
"340","C3",2998843018.64365
"340","D",2078347146.3593
"341","A",439558128029.052
"341","B1",4802281977.94434
"341","B2",10981194014.9965
"341","B3",4089672200.79646
"341","C1",5257086552.54353
"341","C2",6163324554.90756
"341","C3",2867983020.41462
