Facility_Unit.ID,Facility_ID,Unit_ID.x,Primary_Fuel_Type,Facility_Name,PM_lbs_mmBTU,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_HI_mmBtu_per_MW,mean_NOx_lbs_MW_estimate,mean_SO2_lbs_MW_estimate,mean_HI_mmBtu_per_MW_estimate,Stack_Height_ft,Year,Pathway,Simulation,total_generation_GWh,total_CO2_tons,total_NOx_lbs,total_SO2_lbs,total_HI_mmBtu,State,Fuel_type_1,Fuel_type_2,Ramp_hr,Fossil.NPC_MW,STATEFP,COUNTYFP,COUNTYNS,GEOIDFQ,GEOID,County,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry,County_State,NH3,PM2.5,NOx,SO2,VOC,PM10,SO2_ratio,CO
51030_1,51030,1,Pipeline Natural Gas,Ocean State Power,0.01086,0.310524523930927,0.00715095164719093,5.0553221108375,,,,120,2025,A,1,240.50294,165694.20386116,72694.9604831906,1673.90325662167,5031963.04395508,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
51030_2,51030,2,Pipeline Natural Gas,Ocean State Power,0.01086,0.33756471687388,0.00736482403036001,5.04870724363235,,,,120,2025,A,1,198.84579,140677.355457144,65118.3123679319,1420.60077189704,3724565.70167704,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
52026_1,52026,1,Pipeline Natural Gas,Dartmouth Power,0.01086,0.263219347984846,0.0102245273870668,5.0605629731809,,,,120,2025,A,1,376.9124,158571.33609793,86625.9943284016,3361.22977807145,2613834.79035792,MA,Pipeline Natural Gas,Diesel Oil,12,77,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-70.9989|41.6728,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
52026_2,52026,2,Pipeline Natural Gas,Dartmouth Power,0.01708,0.128847584809838,,7.40243375091672,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,A,1,97.98375,36747.3955494512,7595.06378541133,2104.979287251,1101348.48652094,MA,Pipeline Natural Gas,Diesel Oil,12,24.7,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-70.9989|41.6728,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
542_13,542,13,Other Oil,Cos Cob,0.0244538222222222,18.2012578616352,,10.3813245033112,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,A,1,1.75383,1372.91815578581,31921.9120754717,13.8637627357712,23101.9712683376,CT,Other Oil,"",0.1666667,20,9,190,2830254,0500000US09190,9005,Litchfield,Western Connecticut Planning Region,CT,Connecticut,PL,1378207191,300180641,-73.5989|41.0289,"Litchfield, CT",24430.9563121816,12839.1923991447,144.773099341607,4273.78122028991,1437.81502770774,1733.31080581596,0.808023997000375,1941.1309444266
542_14,542,14,Other Oil,Cos Cob,0.0244538222222222,16.3363199300699,,10.33153125,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,A,1,1.94396,1521.75409140076,31757.1524912587,15.3667118294417,25606.420272659,CT,Other Oil,"",0.1666667,20,9,190,2830254,0500000US09190,9005,Litchfield,Western Connecticut Planning Region,CT,Connecticut,PL,1378207191,300180641,-73.5989|41.0289,"Litchfield, CT",24430.9563121816,12839.1923991447,144.773099341607,4273.78122028991,1437.81502770774,1733.31080581596,0.808023997000375,1941.1309444266
54324_3,54324,3,Pipeline Natural Gas,Ocean State Power II,0.01086,0.349429327353847,0.00766531115466271,5.14422086618702,,,,120,2025,A,1,170.30605,124934.957262282,57509.8655689844,1261.46481746228,3499936.10993305,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
54324_4,54324,4,Pipeline Natural Gas,Ocean State Power II,0.01086,0.371240900397257,0.00752878608044111,5.23422644891236,,,,120,2025,A,1,202.19708,145031.952577143,72230.0059700628,1464.60887737976,3786614.54008692,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
546_6,546,6,Residual Oil,Montville,0.007372,2.5703014844073,3.52770410860873,4.23686656522432,,,,249,2025,A,1,109.58967,115186.519091578,281678.491476706,386599.929120075,1802932.34881016,CT,Residual Oil,"",0.1666667,414.9,9,180,2830253,0500000US09180,9011,New London,Southeastern Connecticut Planning Region,CT,Connecticut,PL,1549172294,216453476,-72.1019|41.4281,"New London, CT",12131.19244757,8053.74734830503,148.739485624939,3270.28549060699,928.134390299619,1253.37806553282,0.618297712785902,1485.91705150732
54805_1,54805,1,Pipeline Natural Gas,"Milford Power, LLC",0.01086,0.29625559058736,0.00596246996508535,4.4435368366288,,,,120,2025,A,1,165.00726,97440.5228798349,48884.3232625021,983.850831771029,1514256.05894918,MA,Pipeline Natural Gas,"",1,249.3,25,27,606940,0500000US25027,25027,Worcester,Worcester County,MA,Massachusetts,06,3912636723,177350055,-71.5122|42.1292,"Worcester, MA",25775.5612622311,12803.4949225947,45.6134422583146,4620.84002008144,1455.66376598274,2135.89901357412,0.873640794900637,2098.56657932952
